length,radius
0.7045793610000004,10.35924562
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
1.0,14.96163767
0.9432896100000008,14.96163767
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
1.0,185.4129571
0.5292994399999991,185.4129571
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
1.0,5.416907051
0.19706438999999953,5.416907051
1.0,37.51126154
1.0,37.51126154
